Usluga,Cena
Wymiana czujnika / termowłącznika wentylatora,60
Naprawa układu chłodzenia,200
Wymiana kolektora dolotowego,220
Wymiana uszczelki kolektora dolotowego,100
Wymiana przewodu dolotowego,150
Wymiana uszczelki przewodu dolotowego,80
Wymiana przepływomierza - czujnika masy powietrza,120
Naprawa układu dolotowego,180
Wymiana wtryskiwaczy,200
Wymiana pompowtryskiwaczy,250
Wymiana pompy paliwa,180
Wymiana pompy wtryskowej,300
Wymiana zbiornika paliwa,160
Wymiana przewodów paliwowych,100
Czyszczenie układu paliwowego,80
Naprawa układu paliwowego,250
Wymiana uszczelki pokrywy zaworów,90
Wymiana uszczelki miski olejowej,80
Wymiana uszczelki pod głowicą,150
Wymiana uszczelniaczy zaworowych,120
Wymiana napinacza paska klinowego,70
Wymiana linki gazu,100
Wymiana koła pasowego,80
Wymiana rolki napinacza,60
Wymiana rolki napinającej,70
Wymiana silnika regulacji biegu jałowego,200
Wymiana rozrządu,250
Wymiana zaworów,500
Wymiana pierścieni tłokowych,700
Wymiana sworznia tłokowego,150
Wymiana panewek korbowodowych,300
Wymiana panewek,250
Wymiana tłoków,600
Wymiana wałka rozrządu,400
Wymiana wału korbowego,800
Planowanie głowicy,300
Generalny remont silnika,2000
Naprawa silnika,1500
Wymiana koła zamachowego,350
Wymiana turbosprężarki,1000
Weryfikacja silnika,100
Weryfikacja układu chłodzenia,50
Weryfikacja układu paliwowego,50
Naprawa wtryskiwacza paliwa,200
Regeneracja głowic samochodowych,600
Układ napędowy,300
Wymiana półosi,250
Wymiana uszczelniacza półosi napędowej,100
Wymiana przegubu,150
Wymiana osłony przegubu,80
Naprawa układu napędowego,400
Wymiana oleju w mechanizmie różnicowym,150
Naprawa wałów i mostów napędowych,500
Weryfikacja układu napędowego,100
Naprawa skrzyń biegów,800
Wymiana oleju w skrzyni automatycznej,300
Wymiana oleju i filtra w skrzyni manualnej,200
Wymiana sprzęgła,400
Wymiana kompletnego sprzęgła z dwumasowym kołem zamachowym,800
Wymiana tarczy sprzęgła,250
Wymiana docisku sprzęgła,150
Wymiana łożyska oporowego sprzęgła,180
Wymiana linki sprzęgła,100
Wymiana wysprzęglika,200
Wymiana pompy sprzęgła,350
Wymiana oleju i filtra hydraulicznego w skrzyni automatycznej,400
Naprawa automatycznej skrzyni biegów,1500
Naprawa manualnej skrzyni biegów,1000
Układ wydechowy,200
Wymiana kolektora wydechowego,300
Wymiana uszczelki kolektora wydechowego,80
Wymiana kompletnego tłumika,400
Wymiana tłumika środkowego,250
Wymiana tłumika końcowego,300
Wymiana tłumika drgań,200
Spawanie tłumika,150
Uszczelnianie wydechu,100
Naprawa wieszaków tłumika,80
Wymiana katalizatora,500
Wymiana sondy lambda,200
Wymiana filtra DPF,800
Naprawa układu wydechowego,300
Wymiana zaworu EGR,350
Weryfikacja układu wydechowego,100
Regeneracja filtra cząstek stałych DPF / FAP,800
Regeneracja części samochodowych,200
Regeneracja pompy hamulcowej,300
Regeneracja pompy ABS,350
Regeneracja przekładni kierowniczej,400
Regeneracja pompy wspomagania,300
Regeneracja wtryskiwaczy benzynowych i diesla,250
Regeneracja pompy wtryskowej,500
Regeneracja turbosprężarki,1000
Regeneracja alternatora,400
Regeneracja rozrusznika,300
Regeneracja zacisków hamulcowych,150
Elektronika,300
Serwis Akumulatorów,100
Wymiana akumulatora,200
Sprawdzenie ładowania akumulatora,50
Test obciążeniowy akumulatora,80
Dostawa akumulatora z wymianą,250
Darmowy test akumulatora,0
Diagnostyka,150
Kasowanie kodów błędów,80
Oświetlenie,100
Wymiana żarówki reflektora (Przód),50
Ustawienie świateł,80
Wymiana tylnego klosza,30
Wymiana silnika regulacji wysokości świateł,150
Wymiana żarówki tablicy rejestracyjnej,20
Elektryka samochodowa,200
Wymiana żarówki klosza (Tył),40
Wymiana żarówki ksenonowej,100
Montaż czujników parkowania,150
Wymiana zegarów deski rozdzielczej,250
Wymiana świec zapłonowych/żarowych,100
Wymiana przewodów zapłonowych,80
Wymiana cewki zapłonowej,150
Naprawa modułu zapłonowego,200
Wymiana kopułki rozdzielacza,50
Naprawa rozdzielacza,150
Wymiana rozrusznika,200
Wymiana alternatora,300
Montaż kamery cofania,200
Wymiana bezpieczników,30
Wymiana silniczka wycieraczek,80
Wymiana pompy spryskiwacza,100
Wymiana przerywnika kierunkowskazów,50
Montaż elektrycznego ogrzewania postojowego DEFA,500
Montaż spalinowego ogrzewania postojowego typu Webasto,800
Wymiana mechanizmu podnoszenia szyby,150
Wymiana stacyjki,200
Naprawa i wymiana zamków,150
Wymiana cięgna wycieraczki,80
Montaż siłowników centralnego zamka,200
Wymiana nagrzewnicy silnika,300
Naprawa liczników samochodowych,250
"Naprawa systemu wspomagającego hamowanie - ABS, BAS, EBD",300
"Naprawa systemu zapobiegającego poślizgom - ASR, ESP, DSR, RSC, VSA",350
"Naprawa systemu wspomagającego jazdę - TSR, ACC, BLIS, AFS, LDW, HHC, SBR",400
"Naprawa systemu wspomagającego układ napędowy - ACD, EDS",400
"Naprawa systemu bezpieczeństwa podczas wypadku - AHR, ACS",300
Elektryk samochodowy - naprawa elektroniki,250
Wymiana czujnika biegu jałowego,100
Wymiana czujnika ciśnienia oleju,80
Wymiana czujnika ciśnienia paliwa,80
Wymiana czujnika ciśnienia powietrza w kole TPMS,100
Wymiana czujnika ciśnienia spalin,100
Wymiana czujnika ciśnienia w kolektorze ssącym,80
Wymiana czujnika ciśnienia w układzie hamulcowym,100
Wymiana czujnika ciśnienia modułu tłoczącego DeNOx,150
Wymiana czujnika Halla aparatu zapłonowego i wału korbowego,120
Wymiana czujnika i nadajnika układu sterowania wtryskiem paliwa,150
Wymiana czujnika impulsów / impulsatora,100
Wymiana czujnika klimatyzacji,100
Wymiana czujnika ciśnienia gazu (LPG),120
"Wymiana czujnika nachylenia, układu alarmowego",100
Wymiana czujnika obrotomierza,80
Wymiana czujnika oleju,80
Wymiana czujnika otwierania drzwi,80
Wymiana czujnika położenia pedału gazu,100
Wymiana czujnika położenia pedału sprzęgła,100
Wymiana czujnika położenia przepustnicy,100
Wymiana czujnika położenia wałka rozrządu,120
Wymiana czujnika położenia wału korbowego,120
Wymiana czujnika poziomu oleju silnikowego,80
Wymiana czujnika poziomu paliwa,80
Wymiana czujnika poziomu płynu chłodzącego,80
Wymiana czujnika poziomu płynu hamulcowego,80
Wymiana czujnika poziomu płynu spryskiwacza,80
Wymiana czujnika poziomu zawieszenia pneumatycznego,120
Wymiana czujnika przesunięcia pedału hamulca,100
Wymiana czujnika skrętu koła kierownicy,100
Wymiana czujnika skrzyni biegów,100
Wymiana czujnika spalania stukowego,100
Wymiana czujnika szybkości,100
Wymiana czujnika świateł stop,80
Wymiana czujnika temperatury wewnętrznej klimatyzacji,100
Wymiana czujnika temperatury oleju,80
Wymiana czujnika temperatury paliwa,80
Wymiana czujnika temperatury płynu chłodzącego,80
Wymiana czujnika temperatury powietrza wlotowego,80
Wymiana czujnika temperatury spalin,100
Wymiana czujnika temperatury zewnętrznej,80
Wymiana czujnika tlenków azotu NOx,150
Wymiana czujnika układu chłodzenia,80
Wymiana czujnika zużycia klocka hamulcowego,100
Wymiana czujnika/przekaźnika,80
Weryfikacja instalacji elektrycznej,150
Zaawansowane systemy wspomagania kierowcy (ADAS),400
Tempomat montaż i naprawa,300
Kalibracja radarów,500
Ustawienia kamery samochodowej,200
System wspomagający ruszanie pod górę (HAS),300
Elektroniczny system bezpieczeństwa czynnego (Hill Descent Control),350
System stabilizujący tor jazdy samochodu (ESC),400
Czujniki ciśnienia w oponach TPMS - wymiana,100
Naprawa i wymiana opon,50
Wymiana opon Runflat - dowolna felga,100
Wymiana opon z czujnikiem TPMS,120
Wymiana opon i wulkanizacja,80
Naprawa opon,30
Wymiana zaworków,50
Wyważanie kół,40
Geometria kół 3D,100
Mobilna wulkanizacja 24h,150
Naprawa felg,80
Renowacja felg stalowych,100
Renowacja felg aluminiowych,120
Diagnostyka komputerowa samochodu,150
Przegląd podstawowy,100
Przegląd rozszerzony,200
Przegląd samochodu przed zakupem,250
Przegląd letni,100
Przegląd zimowy,120
Przegląd samochodu przed podróżą,150
Pomiar punktów bazowych nadwozia,80
Diagnostyka samochodu - 22 punkty kontrolne,120
Diagnostyka samochodu - 29 punktów kontrolnych,150
Przegląd przed wakacjami,200
Stacja Kontroli Pojazdów,150
Przegląd - okresowe badanie techniczne (SKP),200
Klimatyzacja,300
Serwis klimatyzacji,250
Przegląd klimatyzacji,150
Napełnienie klimatyzacji,100
Sprawdzenie szczelności układu klimatyzacji - ciśnieniowe,120
Sprawdzenie szczelności układu klimatyzacji - ultrafiolet,150
Odgrzybianie klimatyzacji,100
Ozonowanie klimatyzacji,200
Wymiana oleju w sprężarce klimatyzacji,150
Serwis klimatyzacji samochodowej,250
Naprawa układu klimatyzacji,300
Blacharstwo i lakiernictwo,200
Wymiana elementów blacharskich,150
Wymiana zderzaka,200
Wymiana błotnika,250
Wymiana pokrywy silnika,150
Wymiana klapy bagażnika,200
Wymiana drzwi przednich,250
Wymiana drzwi tylnych,250
Wymiana dachu,300
Wymiana ćwiartki przedniej,200
Wymiana ćwiartki tylnej,200
Wymiana progu,150
Wymiana pasa przedniego,100
Wymiana pasa tylnego,100
Wymiana reflektora,150
Wymiana kierunkowskazu,100
Wymiana lusterka,100
Wymiana nadkola,150
Wymiana podłogi pod silnikiem,200
Naprawa zderzaka,100
Naprawa błotnika,150
Naprawa pokrywy silnika,100
Naprawa tylnej klapy,150
Naprawa drzwi przednich,200
Naprawa drzwi tylnych,200
Naprawa dachu,500
Naprawa przedniej ćwiartki,300
Naprawa tylnej ćwiartki,300
Naprawa progu,200
Naprawa pasa przedniego,200
Naprawa pasa tylnego,200
Wymiana teleskopu pokrywy silnika lub klapy bagażnika,150
Wyciąganie wgniotek,100
Konserwacja podwozia / zabezpieczenie antykorozyjne podwozia,300
Lakierowanie elementów blacharskich,250
Lakiernik samochodowy - lakierowanie całego nadwozia,2000
Lakierowanie zderzaka przedniego,300
Lakierowanie zderzaka tylnego,300
Lakierowanie błotnika przedniego,400
Lakierowanie błotnika tylnego,400
Malowanie pokrywy silnika,300
Lakierowanie tylnej klapy,500
Lakierowanie drzwi przednich,300
Lakierowanie drzwi tylnych,300
Lakierowanie dachu,600
Lakierowanie ćwiartki przedniej,400
Lakierowanie ćwiartki tylnej,400
Malowanie progu,200
Lakierowanie pasa przedniego,300
Lakierowanie pasa tylnego,300
Lakierowanie lusterka,150
Zabezpieczenie antykorozyjne,250
Wymiana szyb,300
Wymiana czujnika opadów deszczu,150
Wymiana szyby przedniej,400
Wymiana szyby tylnej,350
"Wymiana, naprawa szyberdachu",500
Wymiana szkła lusterka,120
Wymiana szyby karoseryjnej,450
Naprawa szyb,100
Naprawa podgrzewania szyby przedniej / tylnej,200
Wymiana szyby bocznej - otwieranej,250
Naprawa pęknięć/odprysków szyb,80
Czyszczenie auta,150
Przyciemnianie szyb,200
Przyciemnianie szyby szyberdachu,250
Niewidzialna wycieraczka,180
Regeneracja reflektorów,100
Czyszczenie wnętrza samochodu,120
Polerowanie i woskowanie samochodu,300
Oklejanie samochodu,400
Pranie tapicerki samochodowej,200
Polerowanie samochodu,250
Myjnia samochodowa,80
Myjnia parowa,150
Myjnia bezdotykowa,100
Myjnia ręczna,70
Myjnia samoobsługowa,50
Pranie tapicerki,120
Uruchomienie samochodu w zimie u klienta,50
Awaryjne otwieranie samochodu,100
Serwis instalacji gazowych LPG,300
Montaż instalacji LPG,1500
Regulacja LPG,200
Wymiana elektrozaworu LPG,250
Wymiana filtra LPG,120
Wymiana mieszalnika LPG,180
Wymiana przewodów LPG,300
Wymiana reduktora LPG,400
Wymiana zaworu LPG,200
Wymiana wlewu LPG,150
Wymiana wtryskiwacza LPG,350
Wymiana parownika LPG,500
Lubryfikacja LPG,100
Legalizacja zbiornika LPG,200
Wymiana butli LPG,800
Serwis instalacji gazowych CNG,400
Regulacja CNG,250
Wymiana wtryskiwacza CNG,300
Montaż instalacji CNG z homologacją,2000
Wymiana reduktora CNG,500
Wymiana przewodów CNG,400
Wymiana elektrozaworu CNG,350
Wymiana mieszalnika CNG,300
Wymiana wlewu CNG,250
Wymiana zaworu CNG,200
Wymiana parownika CNG,600
Wymiana zbiornika CNG,1500
Lubryfikacja CNG,150
Legalizacja zbiornika CNG,500
Modyfikacje/Tuning,1000
Tuning samochodów i modyfikacje sportowe,1200
Pompowanie opon azotem,30
Montaż Power Boxów podnoszących moc,400
Podniesienie mocy silnika,800
Montaż sportowego filtra powietrza,150
Montaż sportowego filtra oleju,100
Montaż opon wyczynowych,50
Obsługa hamulców sportowych,200
Montaż sportowych tarcz hamulcowych,250
Montaż sportowych klocków hamulcowych,200
Montaż sportowego płynu hamulcowego,150
Montaż przewodów hamulcowych w oplocie,100
Obsługa zawieszenia sportowego,300
Montaż sportowych amortyzatorów,400
Obniżenie samochodu,500
Montaż sprężyn do zwiększonego obciążenia,350
Montaż rozpórek,100
Montaż sportowych stabilizatorów,300
Montaż sportowych tulei zawieszenia,150
Montaż sportowego zestawu zawieszenia,600
Montaż sportowych wskaźników,80
Instalacja podtlenku azotu,600
Montaż oświetlenia ksenonowego,200
Montaż kutych tłoków,400
Montaż wyczynowych panewek,300
Montaż wyczynowych zaworów,500
Montaż sportowego wałka rozrządu,450
Montaż sportowych świec zapłonowych,120
Montaż sportowych przewodów zapłonowych,150
Montaż sportowego układu chłodzenia,600
Adaptacja regulatora ciśnienia paliwa,200
Montaż sportowej pompy paliwa,300
Montaż sportowego układu wydechowego,700
Montaż sportowego układu przeniesienia napędu,800
Wymiana sportowego oleju silnikowego,100
Wymiana sportowego oleju przekładniowego,150
Wymiana sportowego płynu chłodzącego,120
Detale samochodu,150
Dekarbonizacja (wodorowanie) silnika,250
Hamownia samochodowa,300
Tapicer samochodowy,200
Chiptuning / mapowanie silnika,500
Akcesoria samochodowe,80
Montaż belek dachowych,100
Montaż boxu dachowego,200
Montaż haka holowniczego,150
Wymiana pasa bezpieczeństwa,100
Wymiana piór wycieraczek,50
Wymiana Gaśnicy,80
Kodowanie / programowanie kluczyka,120
Car Audio,150
Montaż radia,80
Montaż nawigacji,100
Montaż głośników samochodowych,120
Wygłuszenie samochodu,200
Podłączenie wzmacniacza samochodowego,150
Podłączenie subwoofera,180
Montaż anten,50
Aktualizacja nawigacji,80
Montaż zestawu głośnomówiącego,100
Montaż systemu GPS,150
Pojazdy elektryczne i hybrydowe,500
Układy samochodów elektrycznych,600
Kontrola akumulatora wysokonapięciowego pojazdu elektrycznego,200
Regeneracja baterii w aucie elektrycznym,800
Diagnostyka silnika elektrycznego,250
Naprawa przekładni w aucie elektrycznym,400
Wymiana falownika w aucie elektrycznym,500
Naprawa silnika w aucie elektrycznym,1000
Wymiana gniazda ładowania w aucie elektrycznym,150
Wymiana płynu chłodniczego w aucie elektrycznym,100
Wymiana akumulatora w aucie elektrycznym,300
Wymiana przewodów wysokiego napięcia w aucie elektrycznym,200
Wymiana silnika w aucie elektrycznym,1500
Auta hybrydowe,600
Wymiana baterii w układzie hybrydowym,250
Kontrola akumulatora pojazdu hybrydowego,100
Diagnostyka napędu hybrydowego,200
Naprawa przekładni w aucie hybrydowym,300
Naprawa silnika elektrycznego w aucie hybrydowym,500
Regeneracja baterii w aucie hybrydowym,600
Wymiana falownika w aucie hybrydowym,400
Wymiana gniazda do ładowania w hybrydzie typu plug-in,150
Wymiana płynu chłodniczego w aucie hybrydowym,120
Wymiana przewodów wysokiego napięcia w aucie hybrydowym,180
